"LOAN_RATE","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"Domestic currency","34","32.4","30.3","30.5","30.5","30.3","31","33.1","32.3","31.5","31.8","30","32.7","31.9","32.7","31.3","31","30","27.2","31.7","30.5","30.6","29","28.3","29.5","27.6","28.3","27.3","27.3","24.3","25.5","28.1","26.1","27.6","27.6","24.6","25.3","21.6","22.5","22.3","23.7","21","22.3","20","19.7","21.3","22.3","19.9","17.3","22.1","20.8","21.7","18.4","21.7","21.8","21.8","21.5","21","18.5","20.4","21.2","21.6","20.4","19.5","23.3","23.5","23.4","23.7","22.2","21.9","18.6","20.8","22.2","21.4","20","20.5","20.2","19.7","19.4","20.4","19.4","19.5","18.9","17.9","18.4","17.8","15.8","16.4","16.6","16.2","17.4","17.2","16.1","15.9","16.1","15.5","15.5","18.4","17.9","18.4","18.6","17.9","18.3","18.3","18.6","18.7","18.6","18.2","18.9","19.1","19.6","19.1","18.5","17.9","17.3","18.9","19","18.8","17.3","17.4","18.9","18.4","19.7","19.4","19.1","18.8","19.2","19.6","18.3","18.9","18.6","19.5","20","19","19.1","20.2","19.8","19.8","19.4","20.1","18.7","20","19.5","19.1","19.7","20.1","19.7","20","19.1","19.1","19.2","19.4","20.1","20.2","20.6","19.7","20.2","20.1","20.2","20","20.4","20.3","19.7","19.8","19.6","19.9","19.4","18.6","19.2","18.9","18.9","19.1","18.5","17.7","17.6"
"Foreign currency","19.2","17.8","19.7","21","19.9","21.8","20.4","19.2","18.2","17.7","18.5","17.9","16.3","15.7","16.3","16.9","15.9","17.3","17.8","18","16.2","17.8","15.5","14.8","15.4","15.8","16.2","16.6","15.9","16.8","16.3","15.3","16.1","14.4","15.5","15.1","15.1","15.7","13.2","16.3","14.1","15.5","14.5","12","12.9","13.8","13.4","14.2","13.9","16.3","13.8","13.9","17.1","15","14.4","15.2","15.7","16.7","16","16.8","17.5","17","19.4","19.9","17.6","16.3","17.6","15.9","14.8","15.8","16.4","16.5","15.4","14.9","14.9","15.6","14.5","14","14.3","14","14.1","13.8","12.9","12.6","12.5","12.2","13","12.9","14.3","12.3","12.2","12.7","12.1","13.3","12.2","12.1","13","14","12.4","12.4","12.9","12.9","12.9","14.1","14.2","14.4","13.3","13.5","13.6","13.1","14.2","13.2","13.2","12.3","12.8","12.5","12.1","12","12.3","12.7","12.4","13.8","12.7","12.1","12.1","12.4","13.3","13.5","13.8","12.5","12.7","12.9","13.6","14.2","11.7","12.9","12.9","11.8","12.6","12.2","10.5","11.4","12.1","12","12.3","12.6","12.4","11.2","11.7","10.7","13.2","13.3","12.5","12.5","12.8","13","12.3","11.4","11.1","13.1","12.1","12.5","11.7","11.7","11.6","9.8","11.8","11.6","10.8","11.5","11.3","10.2","10.1","10.2","10.4"
