"Urban and Rural","Aimag","1935","1944","1956","1963","1969","1979","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Total","Total","738,200","759,061","845,481","1,017,158","1,197,595","1,595,006","2,043,954","2,153,466","2,177,217","2,158,362","2,171,898","2,206,892","2,242,998","2,276,016","2,307,484","2,340,134","2,373,493","2,403,105","2,432,397","2,465,657","2,495,091","2,521,733","2,551,081","2,583,254","2,620,446","2,665,955","2,716,275","2,760,968","2,811,666","2,867,744","2,930,277","2,995,949","3,057,778","3,119,935","3,177,899"
