Date,USD
11/26/2008,1166.86
11/27/2008,1166.86
11/28/2008,1170.64
12/1/2008,1180.05
12/2/2008,1183.27
12/3/2008,1194.9
12/4/2008,1203.47
12/5/2008,1211.35
12/8/2008,1223.6
12/9/2008,1231.16
12/10/2008,1226.16
12/11/2008,1227.15
12/12/2008,1226.88
12/15/2008,1231.12
12/16/2008,1230.84
12/17/2008,1231.02
12/18/2008,1230.06
12/19/2008,1238.52
12/22/2008,1237.09
12/23/2008,1243
12/24/2008,1239.92
12/25/2008,1246.29
12/26/2008,1251.07
12/29/2008,1248.89
12/30/2008,1262.91
12/31/2008,1267.51
1/2/2009,1272.31
1/5/2009,1279.58
1/6/2009,1286.55
1/7/2009,1295.02
1/8/2009,1309.73
1/9/2009,1300.4
1/12/2009,1306.28
1/13/2009,1304.81
1/14/2009,1318.19
1/15/2009,1332.75
1/16/2009,1359.87
1/19/2009,1354.06
1/20/2009,1370.42
1/21/2009,1372.94
1/22/2009,1370.89
1/23/2009,1366.42
1/26/2009,1372.38
1/27/2009,1373.09
1/28/2009,1372.04
1/29/2009,1375.16
1/30/2009,1381.66
2/2/2009,1380.95
2/3/2009,1389.95
2/4/2009,1399.63
2/5/2009,1421.18
2/6/2009,1424.53
2/9/2009,1429.55
2/10/2009,1431.44
2/11/2009,1430.99
2/12/2009,1434.47
2/13/2009,1443.86
2/16/2009,1443.76
2/17/2009,1458.2
2/18/2009,1460.05
2/19/2009,1465.78
2/20/2009,1471.93
2/23/2009,1470.62
2/24/2009,1471.45
2/25/2009,1470.17
3/2/2009,1498.26
3/3/2009,1532.92
3/4/2009,1547.47
3/5/2009,1554.84
3/6/2009,1558.23
3/9/2009,1562.8
3/10/2009,1569.92
3/11/2009,1573.9
3/12/2009,1574.1
3/13/2009,1579.1
3/16/2009,1574.1
3/17/2009,1575.33
3/18/2009,1585.7
3/19/2009,1590.7
3/20/2009,1585.45
3/23/2009,1576.6
3/24/2009,1576.75
3/25/2009,1576.58
3/26/2009,1574.35
3/27/2009,1554.6
3/30/2009,1539.22
3/31/2009,1524.07
4/1/2009,1499.65
4/2/2009,1487.23
4/3/2009,1473.17
4/6/2009,1442.96
4/7/2009,1412.77
4/8/2009,1413.27
4/9/2009,1413.89
4/10/2009,1418.75
4/13/2009,1417.6
4/14/2009,1418.45
4/15/2009,1421.99
4/16/2009,1421.79
4/17/2009,1423.9
4/20/2009,1423.8
4/21/2009,1423.68
4/22/2009,1423.52
4/23/2009,1423.19
4/24/2009,1419.69
4/27/2009,1424.49
4/28/2009,1424.69
4/29/2009,1423.53
4/30/2009,1423.86
5/1/2009,1424.53
5/4/2009,1423.51
5/5/2009,1423.78
5/6/2009,1423.22
5/7/2009,1422.19
5/8/2009,1422.41
5/11/2009,1423.2
5/12/2009,1422.36
5/13/2009,1422.24
5/14/2009,1422.19
5/15/2009,1423.18
5/18/2009,1421.76
5/19/2009,1422.98
5/20/2009,1421.73
5/21/2009,1422.41
5/22/2009,1422.47
5/25/2009,1425.03
5/26/2009,1427.38
5/27/2009,1429.93
5/28/2009,1427.94
5/29/2009,1428.37
6/2/2009,1428
6/3/2009,1427.52
6/4/2009,1425.77
6/5/2009,1426.65
6/8/2009,1426.95
6/9/2009,1425.28
6/10/2009,1426.51
6/11/2009,1427.24
6/12/2009,1427.49
6/15/2009,1428.33
6/16/2009,1427.01
6/17/2009,1427.1
6/18/2009,1427.54
6/19/2009,1428.1
6/22/2009,1428.02
6/23/2009,1429.17
6/24/2009,1429.65
6/25/2009,1430.81
6/26/2009,1433.26
6/29/2009,1433.78
6/30/2009,1435.49
7/1/2009,1435.56
7/2/2009,1437.09
7/3/2009,1437.36
7/6/2009,1438.06
7/7/2009,1439.46
7/8/2009,1441.49
7/9/2009,1442.46
7/10/2009,1442.16
7/14/2009,1441.65
7/15/2009,1442.74
7/16/2009,1442.82
7/17/2009,1444.6
7/20/2009,1446.16
7/21/2009,1447.53
7/22/2009,1449.3
7/23/2009,1451.18
7/24/2009,1452.3
7/27/2009,1453.3
7/28/2009,1453.79
7/29/2009,1454.39
7/30/2009,1454.95
7/31/2009,1455.3
8/3/2009,1454.62
8/4/2009,1454.14
8/5/2009,1453.58
8/6/2009,1452.04
8/7/2009,1449.77
8/10/2009,1449.8
8/11/2009,1450.21
8/12/2009,1448.97
8/13/2009,1448.98
8/14/2009,1447.55
8/17/2009,1448.12
8/18/2009,1448.21
8/19/2009,1447.94
8/20/2009,1447.44
8/21/2009,1445.9
8/24/2009,1444.5
8/25/2009,1441.78
8/26/2009,1439.68
8/27/2009,1437.25
8/28/2009,1433.45
8/31/2009,1429.05
9/1/2009,1422.98
9/2/2009,1419.71
9/3/2009,1419.12
9/4/2009,1416.2
9/7/2009,1414.61
