Aimag,Year,Past values of the vulnerability index according to Aimag - 1: Average weighed by livestock numbers in SFU
Khentii,2014,2.59
Khentii,2015,2.39
Khentii,2016,3.51
Khentii,2017,3.48
Khovd,1998,1.82
Khovd,1999,1.28
Khovd,2000,1.71
Khovd,2001,3.12
Khovd,2002,2.84
Khovd,2003,0.57
Khovd,2004,1.39
Khovd,2005,1.11
Khovd,2006,2.65
Khovd,2007,2.44
Khovd,2008,3.51
Khovd,2009,2.19
Khovd,2010,1.29
Khovd,2011,1.23
Khovd,2012,1.11
Khovd,2013,1.15
Khovd,2014,1.95
Khovd,2015,1.69
Khovd,2016,2.16
Khovd,2017,4.41
Khuvsgul,1998,1.44
Khuvsgul,1999,2.42
Khuvsgul,2000,2.64
Khuvsgul,2001,2.19
Khuvsgul,2002,2.11
Khuvsgul,2003,1.44
Khuvsgul,2004,1.29
Khuvsgul,2005,1.22
Khuvsgul,2006,1.45
Khuvsgul,2007,1.67
Khuvsgul,2008,2.84
Khuvsgul,2009,2.55
Khuvsgul,2010,2.05
Khuvsgul,2011,1.65
Khuvsgul,2012,1.8
Khuvsgul,2013,1.49
Khuvsgul,2014,2.06
Khuvsgul,2015,2.14
Khuvsgul,2016,2.08
Khuvsgul,2017,2.74
Orkhon,1998,0.98
Orkhon,1999,1.57
Orkhon,2000,1.41
Orkhon,2001,3.01
Orkhon,2002,4.34
Orkhon,2003,1.02
Orkhon,2004,1.11
Orkhon,2005,1.59
Orkhon,2006,1.37
Orkhon,2007,1.58
Orkhon,2008,1.99
Orkhon,2009,2.01
Orkhon,2010,1.93
Orkhon,2011,1.33
Orkhon,2012,1.24
Orkhon,2013,1.57
Orkhon,2014,1.16
Orkhon,2015,1.03
Orkhon,2016,1.26
Orkhon,2017,1.56
Selenge,1998,1.05
Selenge,1999,1.13
Selenge,2000,1.73
Selenge,2001,2.28
Selenge,2002,2.53
Selenge,2003,1.04
Selenge,2004,1.24
Selenge,2005,1.19
Selenge,2006,1.09
Selenge,2007,1.5
Selenge,2008,2.18
Selenge,2009,2.73
Selenge,2010,2.54
Selenge,2011,2.36
Selenge,2012,1.9
Selenge,2013,1.96
Selenge,2014,2.73
Selenge,2015,2.53
Selenge,2016,2.78
Selenge,2017,3.14
Sukhbaatar,1998,0.53
Sukhbaatar,1999,1.63
Sukhbaatar,2000,1.11
Sukhbaatar,2001,3.5
Sukhbaatar,2002,1.71
Sukhbaatar,2003,1.66
Sukhbaatar,2004,2.76
Sukhbaatar,2005,3.09
Sukhbaatar,2006,1.33
Sukhbaatar,2007,3.28
Sukhbaatar,2008,1.38
Sukhbaatar,2009,1.7
Sukhbaatar,2010,2.16
Sukhbaatar,2011,1.18
Sukhbaatar,2012,0.78
Sukhbaatar,2013,1.19
Sukhbaatar,2014,2.74
Sukhbaatar,2015,2.31
Sukhbaatar,2016,4.02
Sukhbaatar,2017,2.28
Tuv,1998,1.36
Tuv,1999,2.42
Tuv,2000,2.32
Tuv,2001,2.52
Tuv,2002,2.87
Tuv,2003,0.9
Tuv,2004,1.34
Tuv,2005,1.17
Tuv,2006,1.3
Tuv,2007,1.78
Tuv,2008,2.16
Tuv,2009,2.06
Tuv,2010,1.46
Tuv,2011,1.81
Tuv,2012,1.46
Tuv,2013,1.73
Tuv,2014,3.2
Tuv,2015,2.71
Tuv,2016,3.68
Tuv,2017,2.84
Ulaanbaatar,1998,1.32
Ulaanbaatar,1999,1.71
Ulaanbaatar,2000,1.17
Ulaanbaatar,2001,1.3
Ulaanbaatar,2002,2.89
Ulaanbaatar,2003,1.3
Ulaanbaatar,2004,1.63
Ulaanbaatar,2005,1.54
Ulaanbaatar,2006,1.4
Ulaanbaatar,2007,1.6
Ulaanbaatar,2008,2.05
Ulaanbaatar,2009,3.21
Ulaanbaatar,2010,2.45
Ulaanbaatar,2011,2.58
Ulaanbaatar,2012,1.32
Ulaanbaatar,2013,1.91
Ulaanbaatar,2014,2.05
Ulaanbaatar,2015,2.03
Ulaanbaatar,2016,3.04
Ulaanbaatar,2017,3.33
Umnugovi,1998,1.42
Umnugovi,1999,3.16
Umnugovi,2000,2.7
Umnugovi,2001,4.23
Umnugovi,2002,3.16
Umnugovi,2003,0.33
Umnugovi,2004,1.2
Umnugovi,2005,2.21
Umnugovi,2006,1.69
Umnugovi,2007,0.66
Umnugovi,2008,1.39
Umnugovi,2009,3.96
Umnugovi,2010,2.16
Umnugovi,2011,1.16
Umnugovi,2012,0.73
Umnugovi,2013,1.67
Umnugovi,2014,2.11
Umnugovi,2015,2.98
Umnugovi,2016,2.32
Umnugovi,2017,4
Uvs,1998,1.49
Uvs,1999,1.78
Uvs,2000,1.69
Uvs,2001,1.5
Uvs,2002,2.21
Uvs,2003,0.58
Uvs,2004,1.44
Uvs,2005,1.02
Uvs,2006,1.99
Uvs,2007,3.28
Uvs,2008,3.47
Uvs,2009,3.47
Uvs,2010,1.87
Uvs,2011,1.43
Uvs,2012,1.17
Uvs,2013,1.23
Uvs,2014,2.53
Uvs,2015,3.97
Uvs,2016,1.92
Uvs,2017,4.39
Uvurkhangai,1998,1.23
Uvurkhangai,1999,3.08
