Aimag,Year,Temprature anomalies
Selenge,2005,-3.97
Selenge,2006,-0.94
Selenge,2007,3.23
Selenge,2008,-0.22
Selenge,2009,1.38
Selenge,2010,-3.31
Selenge,2011,-1.54
Selenge,2012,-3.27
Selenge,2013,-4.27
Selenge,2014,1.08
Sukhbaatar,1999,0.85
Sukhbaatar,2000,-0.12
Sukhbaatar,2001,-4.03
Sukhbaatar,2002,2.26
Sukhbaatar,2003,-0.93
Sukhbaatar,2004,0.53
Sukhbaatar,2005,-0.92
Sukhbaatar,2006,0.66
Sukhbaatar,2007,2.27
Sukhbaatar,2008,0.84
Sukhbaatar,2009,0.76
Sukhbaatar,2010,-2.29
Sukhbaatar,2011,-0.98
Sukhbaatar,2012,-2.04
Sukhbaatar,2013,-2.54
Sukhbaatar,2014,2.33
Tuv,1999,0.57
Tuv,2000,-0.28
Tuv,2001,-3.75
Tuv,2002,1.23
Tuv,2003,-1.61
Tuv,2004,-0.67
Tuv,2005,-2.04
Tuv,2006,0.38
Tuv,2007,3.41
Tuv,2008,-0.21
Tuv,2009,0.83
Tuv,2010,-3.49
Tuv,2011,-0.41
Tuv,2012,-3.72
Tuv,2013,-3.77
Tuv,2014,1.1
Ulaanbaatar,1999,-0.16
Ulaanbaatar,2000,-0.67
Ulaanbaatar,2001,-4.3
Ulaanbaatar,2002,0.34
Ulaanbaatar,2003,-1.97
Ulaanbaatar,2004,-0.56
Ulaanbaatar,2005,-1.68
Ulaanbaatar,2006,0.6
Ulaanbaatar,2007,3.32
Ulaanbaatar,2008,-0.07
Ulaanbaatar,2009,0.92
Ulaanbaatar,2010,-2.88
Ulaanbaatar,2011,-0.22
Ulaanbaatar,2012,-3.33
Ulaanbaatar,2013,-2.36
Ulaanbaatar,2014,1.13
Umnugobi,1999,2.56
Umnugobi,2000,-0.34
Umnugobi,2001,0.18
Umnugobi,2002,1.64
Umnugobi,2003,-0.72
Umnugobi,2004,0.13
Umnugobi,2005,-2.48
Umnugobi,2006,-0.39
Umnugobi,2007,2.6
Umnugobi,2008,-1.33
Umnugobi,2009,1.11
Umnugobi,2010,-2.25
Umnugobi,2011,-1.35
Umnugobi,2012,-1.5
Umnugobi,2013,-1.12
Umnugobi,2014,1.44
Uvs,1999,3.83
Uvs,2000,0.83
Uvs,2001,0.02
Uvs,2002,-0.62
Uvs,2003,0.69
Uvs,2004,1.51
Uvs,2005,-4.57
Uvs,2006,1.03
Uvs,2007,3.71
Uvs,2008,-1.45
Uvs,2009,1
Uvs,2010,-5.05
Uvs,2011,-0.21
Uvs,2012,-3.49
Uvs,2013,-0.06
Uvs,2014,-0.34
Uvurkhangai,1999,2.59
Uvurkhangai,2000,-0.91
Uvurkhangai,2001,-1.06
Uvurkhangai,2002,0.72
Uvurkhangai,2003,0.44
Uvurkhangai,2004,0.22
Uvurkhangai,2005,-2.47
Uvurkhangai,2006,-0.01
Uvurkhangai,2007,3.38
Uvurkhangai,2008,-0.95
Uvurkhangai,2009,1.27
Uvurkhangai,2010,-2.81
Uvurkhangai,2011,-1.77
Uvurkhangai,2012,-2.25
Uvurkhangai,2013,-2.15
Uvurkhangai,2014,1.09
Zavkhan,1999,3.37
Zavkhan,2000,-0.25
Zavkhan,2001,-1.36
Zavkhan,2002,0.47
Zavkhan,2003,0.47
Zavkhan,2004,0.84
Zavkhan,2005,-3.64
Zavkhan,2006,-0.11
Zavkhan,2007,2.57
Zavkhan,2008,-2.48
Zavkhan,2009,0.38
Zavkhan,2010,-3.55
Zavkhan,2011,-1.54
Zavkhan,2012,-3.63
Zavkhan,2013,-0.57
Zavkhan,2014,-0.57
