Aimag,Year,Zootechnical score
Khuvsgul,2015,0
Khuvsgul,2016,0
Khuvsgul,2017,0
Orkhon,1998,0
Orkhon,1999,0
Orkhon,2000,0
Orkhon,2001,2
Orkhon,2002,0
Orkhon,2003,0
Orkhon,2004,0
Orkhon,2005,0
Orkhon,2006,0
Orkhon,2007,0
Orkhon,2008,0
Orkhon,2009,0
Orkhon,2010,2
Orkhon,2011,0
Orkhon,2012,0
Orkhon,2013,1
Orkhon,2014,0
Orkhon,2015,0
Orkhon,2016,0
Orkhon,2017,0
Selenge,1998,0
Selenge,1999,0
Selenge,2000,1
Selenge,2001,2
Selenge,2002,0
Selenge,2003,0
Selenge,2004,0
Selenge,2005,0
Selenge,2006,0
Selenge,2007,0
Selenge,2008,0
Selenge,2009,1
Selenge,2010,2
Selenge,2011,0
Selenge,2012,0
Selenge,2013,0
Selenge,2014,0
Selenge,2015,0
Selenge,2016,0
Selenge,2017,0
Sukhbaatar,1998,0
Sukhbaatar,1999,0
Sukhbaatar,2000,0
Sukhbaatar,2001,2
Sukhbaatar,2002,0
Sukhbaatar,2003,0
Sukhbaatar,2004,1
Sukhbaatar,2005,2
Sukhbaatar,2006,0
Sukhbaatar,2007,0
Sukhbaatar,2008,1
Sukhbaatar,2009,0
Sukhbaatar,2010,0
Sukhbaatar,2011,0
Sukhbaatar,2012,0
Sukhbaatar,2013,0
Sukhbaatar,2014,0
Sukhbaatar,2015,0
Sukhbaatar,2016,1
Sukhbaatar,2017,0
Tuv,1998,0
Tuv,1999,1
Tuv,2000,2
Tuv,2001,2
Tuv,2002,0
Tuv,2003,0
Tuv,2004,0
Tuv,2005,0
Tuv,2006,0
Tuv,2007,0
Tuv,2008,1
Tuv,2009,0
Tuv,2010,0
Tuv,2011,0
Tuv,2012,0
Tuv,2013,0
Tuv,2014,0
Tuv,2015,0
Tuv,2016,1
Tuv,2017,0
Ulaanbaatar,1998,0
Ulaanbaatar,1999,1
Ulaanbaatar,2000,0
Ulaanbaatar,2001,0
Ulaanbaatar,2002,0
Ulaanbaatar,2003,0
Ulaanbaatar,2004,0
Ulaanbaatar,2005,1
Ulaanbaatar,2006,0
Ulaanbaatar,2007,0
Ulaanbaatar,2008,1
Ulaanbaatar,2009,2
Ulaanbaatar,2010,2
Ulaanbaatar,2011,0
Ulaanbaatar,2012,0
Ulaanbaatar,2013,1
Ulaanbaatar,2014,0
Ulaanbaatar,2015,0
Ulaanbaatar,2016,1
Ulaanbaatar,2017,2
Umnugovi,1998,0
Umnugovi,1999,2
Umnugovi,2000,2
Umnugovi,2001,2
Umnugovi,2002,2
Umnugovi,2003,0
Umnugovi,2004,0
Umnugovi,2005,0
Umnugovi,2006,2
Umnugovi,2007,0
Umnugovi,2008,0
Umnugovi,2009,0
Umnugovi,2010,2
Umnugovi,2011,0
Umnugovi,2012,0
Umnugovi,2013,0
Umnugovi,2014,0
Umnugovi,2015,0
Umnugovi,2016,1
Umnugovi,2017,1
Uvs,1998,0
Uvs,1999,1
Uvs,2000,1
Uvs,2001,0
Uvs,2002,0
Uvs,2003,0
Uvs,2004,0
Uvs,2005,0
Uvs,2006,0
Uvs,2007,0
Uvs,2008,2
Uvs,2009,2
Uvs,2010,2
Uvs,2011,0
Uvs,2012,0
Uvs,2013,0
Uvs,2014,0
Uvs,2015,0
Uvs,2016,1
Uvs,2017,0
Uvurkhangai,1998,0
Uvurkhangai,1999,1
Uvurkhangai,2000,2
Uvurkhangai,2001,0
Uvurkhangai,2002,0
Uvurkhangai,2003,0
Uvurkhangai,2004,0
Uvurkhangai,2005,0
Uvurkhangai,2006,0
Uvurkhangai,2007,0
Uvurkhangai,2008,0
Uvurkhangai,2009,0
Uvurkhangai,2010,0
Uvurkhangai,2011,0
Uvurkhangai,2012,0
Uvurkhangai,2013,0
Uvurkhangai,2014,1
Uvurkhangai,2015,0
Uvurkhangai,2016,0
Uvurkhangai,2017,0
Zavkhan,1998,2
Zavkhan,1999,2
Zavkhan,2000,2
Zavkhan,2001,2
Zavkhan,2002,0
Zavkhan,2003,0
Zavkhan,2004,0
Zavkhan,2005,0
Zavkhan,2006,0
Zavkhan,2007,0
Zavkhan,2008,1
Zavkhan,2009,2
Zavkhan,2010,2
Zavkhan,2011,0
Zavkhan,2012,0
Zavkhan,2013,0
Zavkhan,2014,0
Zavkhan,2015,0
Zavkhan,2016,2
Zavkhan,2017,0
