Aimag,Year,Snowfall anomalies
Selenge,2008,-2.96
Selenge,2009,-3.63
Selenge,2010,3.69
Selenge,2011,5.32
Selenge,2012,-6.41
Selenge,2013,9.22
Selenge,2014,-0.83
Sukhbaatar,1999,2.23
Sukhbaatar,2000,-7.61
Sukhbaatar,2001,11.16
Sukhbaatar,2002,-5.17
Sukhbaatar,2003,0.13
Sukhbaatar,2004,5.9
Sukhbaatar,2005,-1.44
Sukhbaatar,2006,-4.47
Sukhbaatar,2007,1.23
Sukhbaatar,2008,-3.41
Sukhbaatar,2009,7.5
Sukhbaatar,2010,-2.51
Sukhbaatar,2011,6.13
Sukhbaatar,2012,3.06
Sukhbaatar,2013,9.86
Sukhbaatar,2014,2.83
Tuv,1999,-0.36
Tuv,2000,-0.34
Tuv,2001,7.34
Tuv,2002,6.77
Tuv,2003,6.02
Tuv,2004,21.59
Tuv,2005,3.32
Tuv,2006,-3.89
Tuv,2007,5.77
Tuv,2008,-2.61
Tuv,2009,-0.09
Tuv,2010,11.59
Tuv,2011,3.89
Tuv,2012,0.94
Tuv,2013,9.87
Tuv,2014,-0.29
Ulaanbaatar,1999,8.39
Ulaanbaatar,2000,1.59
Ulaanbaatar,2001,9.94
Ulaanbaatar,2002,6.89
Ulaanbaatar,2003,4.59
Ulaanbaatar,2004,24.44
Ulaanbaatar,2005,9.69
Ulaanbaatar,2006,-1.56
Ulaanbaatar,2007,12.04
Ulaanbaatar,2008,-4.51
Ulaanbaatar,2009,-0.61
Ulaanbaatar,2010,5.44
Ulaanbaatar,2011,4.54
Ulaanbaatar,2012,3.49
Ulaanbaatar,2013,10.24
Ulaanbaatar,2014,-2.51
Umnugobi,1999,-6.3
Umnugobi,2000,-3.62
Umnugobi,2001,-5.28
Umnugobi,2002,-1.22
Umnugobi,2003,10.98
Umnugobi,2004,1.32
Umnugobi,2005,3.4
Umnugobi,2006,-4.88
Umnugobi,2007,9.86
Umnugobi,2008,5.26
Umnugobi,2009,-1.1
Umnugobi,2010,2.74
Umnugobi,2011,9.28
Umnugobi,2012,3.42
Umnugobi,2013,2.48
Umnugobi,2014,-4.5
Uvs,1999,-3
Uvs,2000,1.28
Uvs,2001,7.63
