Statistical indicator,Administrator unit,Year,Key,Value,Population,Rate,Difference to Average,MapX,MapY,Inclination
Murder,Bulgan,2016,Bulgan - 2016,7,60603,11.5505833,5.973544039,5,4,red
Murder,Bulgan,2017,Bulgan - 2017,2,61289,3.263228312,-2.684097264,5,4,blue
Murder,Bayankhongor,2010,Bayankhongor - 2010,4,76221,5.247897561,-3.082514092,4,2,blue
Murder,Bayankhongor,2011,Bayankhongor - 2011,2,76651,2.609228842,-6.709089905,4,2,blue
Murder,Bayankhongor,2012,Bayankhongor - 2012,3,77846,3.853762557,-4.201349754,4,2,blue
Murder,Bayankhongor,2013,Bayankhongor - 2013,4,78432,5.0999592,-1.861839974,4,2,blue
Murder,Bayankhongor,2014,Bayankhongor - 2014,6,83044,7.225085497,0.182241977,4,2,red
Murder,Bayankhongor,2015,Bayankhongor - 2015,1,83936,1.191383912,-5.480127232,4,2,blue
Murder,Bayankhongor,2016,Bayankhongor - 2016,4,84807,4.716591791,-0.860447474,4,2,blue
Murder,Bayankhongor,2017,Bayankhongor - 2017,3,86594,3.464443264,-2.482882312,4,2,blue
Murder,Arkhangai,2010,Arkhangai - 2010,6,84562,7.095385634,-1.235026019,4,3,blue
Murder,Arkhangai,2011,Arkhangai - 2011,11,84355,13.04012803,3.721809283,4,3,red
Murder,Arkhangai,2012,Arkhangai - 2012,4,85175,4.696213678,-3.358898634,4,3,blue
Murder,Arkhangai,2013,Arkhangai - 2013,4,85654,4.669951199,-2.291847976,4,3,blue
Murder,Arkhangai,2014,Arkhangai - 2014,5,93086,5.371377006,-1.671466513,4,3,blue
Murder,Arkhangai,2015,Arkhangai - 2015,6,92059,6.517559391,-0.153951752,4,3,blue
Murder,Arkhangai,2016,Arkhangai - 2016,4,93135,4.294840822,-1.282198443,4,3,blue
Murder,Arkhangai,2017,Arkhangai - 2017,1,95106,1.051458373,-4.895867203,4,3,blue
Murder,Khuvsgul,2010,Khuvsgul - 2010,6,114939,5.220160259,-3.110251394,4,4,blue
Murder,Khuvsgul,2011,Khuvsgul - 2011,12,115934,10.35071679,1.032398039,4,4,red
Murder,Khuvsgul,2012,Khuvsgul - 2012,12,117646,10.2000918,2.14497949,4,4,red
Murder,Khuvsgul,2013,Khuvsgul - 2013,7,118679,5.898263383,-1.063535792,4,4,blue
Murder,Khuvsgul,2014,Khuvsgul - 2014,8,126043,6.347040296,-0.695803224,4,4,blue
Murder,Khuvsgul,2015,Khuvsgul - 2015,9,128159,7.022526705,0.351015562,4,4,red
Murder,Khuvsgul,2016,Khuvsgul - 2016,4,129382,3.091620164,-2.485419102,4,4,blue
Murder,Khuvsgul,2017,Khuvsgul - 2017,8,131561,6.080829425,0.133503849,4,4,red
Murder,Tuv,2010,Tuv - 2010,10,85411,11.70809381,3.377682153,6,3,red
Murder,Tuv,2011,Tuv - 2011,13,85705,15.1683099,5.849991153,6,3,red
Murder,Tuv,2012,Tuv - 2012,9,86818,10.36651386,2.311401545,6,3,red
Murder,Tuv,2013,Tuv - 2013,8,85898,9.313371673,2.351572499,6,3,red
Murder,Tuv,2014,Tuv - 2014,10,90107,11.09791692,4.055073401,6,3,red
Murder,Tuv,2015,Tuv - 2015,8,90421,8.84750224,2.175991096,6,3,red
Murder,Tuv,2016,Tuv - 2016,7,91660,7.636919049,2.059879783,6,3,red
Murder,Tuv,2017,Tuv - 2017,2,94041,2.126731957,-3.820593618,6,3,blue
Murder,Govisumber,2010,Govisumber - 2010,1,13323,7.505817008,-0.824594645,7,2,blue
Murder,Govisumber,2011,Govisumber - 2011,1,13859,7.215527816,-2.102790932,7,2,blue
Murder,Govisumber,2012,Govisumber - 2012,2,14308,13.97819402,5.923081706,7,2,red
Murder,Govisumber,2013,Govisumber - 2013,2,14801,13.5126005,6.550801325,7,2,red
